date,cash,portfolio_value,n_positions,n_trades
2023-10-30,2979.780461768023,105831.15947376803,3,2
2023-10-31,1524.308178984902,103415.2827469849,4,3
2023-11-01,2974.802290416941,108068.80302741694,5,3
2023-11-02,2032.5041005816674,109467.90595058167,5,2
2023-11-03,75895.13773322667,108342.83392322667,1,4
2023-11-06,4195.717720509878,110598.72047550988,3,2
2023-11-07,2774.090169509878,110815.52165150987,4,1
2023-11-08,3422.5996003212495,103221.38923532126,4,2
2023-11-09,5163.73629459137,99434.30258159137,3,3
2023-11-10,21247.32874024929,105296.5144852493,3,2
2023-11-13,90966.44472582109,109325.29753182108,1,2
2023-11-14,20760.69934465709,110430.25970265709,3,2
2023-11-15,39717.036958023324,114371.10027802332,2,1
2023-11-16,5097.419225628357,118346.19327262836,2,2
2023-11-17,31375.624077467357,126955.94083546737,1,1
2023-11-20,126900.02635016394,126900.02635016394,0,1
2023-11-21,126900.02635016394,126900.02635016394,0,0
2023-11-22,126900.02635016394,126900.02635016394,0,0
2023-11-23,66841.92184516395,126894.92184516395,1,1
2023-11-24,35899.45195876395,127290.07295876395,2,1
2023-11-27,2646.6257087639533,124281.13470876394,3,1
2023-11-28,16000.157909091255,124832.09595509124,3,2
2023-11-29,80362.48390909126,124423.07191309125,2,1
2023-11-30,5940.068105086262,135416.99099108626,2,2
2023-12-01,121989.13966008626,136068.14558808628,1,1
2023-12-04,136420.69833652946,136420.69833652946,0,1
2023-12-05,136420.69833652946,136420.69833652946,0,0
2023-12-06,136420.69833652946,136420.69833652946,0,0
2023-12-07,136420.69833652946,136420.69833652946,0,0
2023-12-08,6950.076527021389,125839.88529502139,2,2
2023-12-11,8396.562621424237,130668.15995042423,3,3
2023-12-12,922.2251714242375,134665.21124742425,5,2
2023-12-13,74282.89779838573,134718.42491638573,4,1
2023-12-14,74282.89779838573,134126.06979238574,4,0
2023-12-15,130503.09619551922,134368.8297455192,1,3
2023-12-18,134343.97460536423,134343.97460536423,0,1
2023-12-19,134343.97460536423,134343.97460536423,0,0
2023-12-20,6845.138125364232,136325.13812536423,1,1
2023-12-21,471.218775364232,141856.76314836423,2,1
2023-12-22,471.218775364232,138134.0547153642,2,0
2023-12-25,471.218775364232,139439.59651236422,2,0
2023-12-26,6683.334375364197,138591.5871813642,2,2
2023-12-27,919.7575678921967,138061.7575678922,2,2
2023-12-28,919.7575678921967,142971.7575678922,2,0
2023-12-29,919.7575678921967,144260.7575678922,2,0
2024-01-02,8249.186678604165,143238.82713460416,2,4
2024-01-03,8249.186678604165,148309.55245460416,2,0
2024-01-04,772.7663786041649,153938.1264146042,4,2
2024-01-05,5199.239203604164,155686.07711560416,5,3
2024-01-08,74303.06401918779,155974.1054121878,4,1
2024-01-09,4883.271037547493,159384.1340175475,4,4
2024-01-10,2922.445290356056,158979.26082235607,5,3
2024-01-11,1879.4928303560591,159021.64294235606,5,2
2024-01-12,3557.2147233934847,156209.15726939347,5,2
2024-01-15,5069.433269939313,154612.4880229393,4,3
2024-01-16,50152.76888293015,151041.29894993018,2,2
2024-01-17,4013.129800640738,146943.09113264075,3,3
2024-01-18,4013.129800640738,139702.19854864074,3,0
2024-01-19,3722.556680832735,136915.81199083274,3,2
2024-01-22,3722.556680832735,128167.73180383274,3,0
2024-01-23,6526.620263414188,128464.38219941419,2,5
2024-01-24,872.3817224141876,129620.20205341418,3,1
2024-01-25,872.3817224141876,133693.9673414142,3,0
2024-01-26,872.3817224141876,132654.09361341418,3,0
2024-01-29,133091.22477159262,133091.22477159262,0,3
2024-01-30,8734.552952888618,134065.9440728886,2,2
2024-01-31,1425.965100888618,138242.12869688863,4,2
2024-02-01,3861.0516000106145,147567.1095520106,5,3
2024-02-02,423.5948320106145,139538.49353801063,5,2
2024-02-05,5244.847994164091,126078.08908216411,3,6
2024-02-06,6108.404796286137,126300.96144628612,2,5
2024-02-07,829.366024286137,131405.27241428616,4,2
2024-02-08,5771.279587921745,145030.57331792172,3,5
2024-02-19,7800.952433656552,153202.01186665654,2,5
2024-02-20,3092.213397656552,156227.08851365655,3,1
2024-02-21,243.386504656552,159098.19847565657,5,2
2024-02-22,4272.550346274249,160292.37251327425,5,2
2024-02-23,4645.400786030368,166527.78691203037,4,5
2024-02-26,324.4007860303682,172915.42398403038,5,1
2024-02-27,2793.270753833327,180433.47159783336,5,4
2024-02-28,7325.92667765246,168981.63326365247,5,4
2024-02-29,8182.5973566849425,176734.33847668493,3,6
2024-03-01,6415.973025911131,178593.81638591114,3,4
2024-03-04,3558.973025911131,176296.53384791114,4,1
2024-03-05,213.9439699111308,172548.52686191112,5,1
2024-03-06,88936.91285236368,174573.8238723637,2,5
2024-03-07,4476.734347363679,173559.42817936366,4,2
2024-03-08,24073.122497363678,174948.07723136368,4,2
2024-03-11,14565.751129903676,175791.82460390366,4,2
2024-03-12,141582.57035488222,177964.98955488222,2,2
2024-03-13,141582.57035488222,177444.58715488223,2,0
2024-03-14,8375.456472213424,181133.22559221342,3,3
2024-03-15,1163.8064358534248,192399.7443558534,4,3
2024-03-18,5095.746309663322,207380.0661816633,5,3
2024-03-19,1767.236509663324,217139.14255766332,5,2
2024-03-20,6195.608519663343,233661.68691966333,5,4
2024-03-21,6633.791509538067,239956.13862953807,4,5
2024-03-22,373.5588095380672,237781.77953153805,5,1
2024-03-25,3652.3337360955848,237069.86947909556,5,2
2024-03-26,6478.020478078295,242127.2997660783,5,4
2024-03-27,4395.1809950507995,231060.8609670508,5,4
2024-03-28,5769.030368355947,230059.12167035596,5,4
2024-03-29,5769.030368355947,233632.69217435594,5,0
2024-04-01,4470.595736408359,241274.09420140838,5,2
2024-04-02,3626.772909751795,238062.77286575176,5,4
2024-04-03,5649.382743682079,228457.3004786821,5,4
2024-04-08,4568.987291629157,216726.34801162916,5,4
2024-04-09,3301.4055200454095,219598.3689900454,5,2
2024-04-10,2222.91543780121,217318.1558278012,5,2
2024-04-11,133314.27058604042,216187.13031604042,2,3
2024-04-12,9354.855626534176,210615.80002653418,3,3
2024-04-15,803.8556265341758,194346.51386653417,5,2
2024-04-16,9458.080796367736,174368.40702036774,3,6
2024-04-17,8891.72395633535,185591.16469033534,2,5
2024-04-18,6289.253297045507,186345.9997270455,3,3
2024-04-19,327.25329704550677,180578.0250840455,5,2
2024-04-22,2114.6489693990225,173537.64896939902,5,2
2024-04-23,5606.494529300631,173572.48706730062,5,2
2024-04-24,2721.7994012678537,179244.06161726787,5,4
2024-04-25,2721.7994012678537,177534.32594726785,5,0
2024-04-26,2022.317911267859,186809.66673526785,5,4
2024-04-29,5423.985137892698,198646.5733698927,5,2
2024-04-30,2931.7228486436943,201751.3639986437,5,4
2024-05-06,1512.0184186436927,199969.2591686437,5,2
2024-05-07,1210.540338643692,203076.7810886437,5,2
2024-05-08,7040.902833253698,200526.0425082537,5,2
2024-05-09,3136.668702077197,204367.37059707718,5,4
2024-05-10,2575.6740090451895,200338.0945990452,5,4
2024-05-13,8214.25611719113,202109.24396519113,5,4
2024-05-14,3107.796244670528,211947.24680467052,4,3
2024-05-15,5168.879411758033,215721.39633975804,4,4
2024-05-16,1443.0478817580329,220766.79845975802,5,1
2024-05-17,6531.647893820598,225587.07989382057,4,3
2024-05-20,2619.2657451240993,221176.0236951241,5,3
2024-05-21,2817.8360143843456,219528.78842138435,5,4
2024-05-22,117930.45571438434,224651.10925238434,4,1
2024-05-23,144185.08776438434,228023.03409838435,3,1
2024-05-24,228996.8812444931,228996.8812444931,0,3
2024-05-27,11685.672577696445,237050.01424169645,2,2
2024-05-28,685.6725776964449,227997.88070569644,4,2
2024-05-29,223.0902976964449,221889.11897769643,5,1
2024-05-30,223.0902976964449,218024.31584969643,5,0
2024-05-31,10526.594668867678,211856.7720088677,3,4
2024-06-03,918.2520159376782,203007.3981659377,3,4
2024-06-04,10076.891775937678,196963.1300259377,4,3
2024-06-05,589.8917759376782,190171.2636259377,5,1
2024-06-06,99234.16891718768,186702.16891718766,2,3
2024-06-07,9465.811452187685,195486.81145218769,2,4
2024-06-11,1718.590972187685,195907.6317401877,4,2
2024-06-12,98543.91500218768,200404.6762181877,3,1
2024-06-13,98543.91500218768,197503.75609018767,3,0
2024-06-14,197456.6222267077,197456.6222267077,0,3
2024-06-17,197456.6222267077,197456.6222267077,0,0
