date,代码,名称,action,price,shares,amount,cost,profit,profit_pct,reason,hold_days
2026-02-24,sh.600340,华夏幸福,BUY,1.63,24300,39609.0,3.3667650000000005,0.0,,SIGNAL,0
2026-02-24,sh.605255,天普股份,BUY,131.32,300,39396.0,3.34866,0.0,,SIGNAL,0
2026-02-25,sh.600403,大有能源,SELL,7.1,4700,33370.0,19.521449999999998,-116.36589000000095,-0.0034770499563717143,HOLD_EXPIRE,4
2026-02-25,sz.002175,东方智造,BUY,3.32,10800,35856.0,3.0477600000000002,0.0,,SIGNAL,0
2026-02-27,sz.000016,深康佳A,SELL,3.86,43200,166752.0,97.54992,4640.68008000002,0.028643738615551136,HOLD_EXPIRE,4
2026-02-27,sh.601137,博威合金,SELL,20.09,8000,160720.0,94.0212,-347.7027999999991,-0.0021599978117168134,HOLD_EXPIRE,4
2026-02-27,sh.603516,淳中科技,BUY,161.7,900,145530.0,12.37005,0.0,,SIGNAL,0
2026-02-27,sz.000838,财信发展,BUY,2.61,64100,167301.0,14.220585000000002,0.0,,SIGNAL,0
2026-03-02,sh.600340,华夏幸福,SELL,1.72,24300,41796.0,24.45066,2159.182574999999,0.054507790150720596,HOLD_EXPIRE,4
2026-03-02,sh.605255,天普股份,SELL,131.0,300,39300.0,22.9905,-122.33916000000318,-0.003105106154310805,HOLD_EXPIRE,4
2026-03-02,sz.000016,深康佳A,BUY,3.75,12300,46125.0,3.9206250000000002,0.0,,SIGNAL,0
2026-03-02,sz.002227,奥特迅,BUY,9.9,4600,45540.0,3.8709000000000002,0.0,,SIGNAL,0
2026-03-03,sz.002175,东方智造,SELL,3.23,10800,34884.0,20.407140000000002,-995.4549000000043,-0.027760215682871892,HOLD_EXPIRE,4
2026-03-03,sz.002501,利源股份,BUY,2.05,18800,38540.0,3.2759,0.0,,SIGNAL,0
2026-03-04,sz.000838,财信发展,SELL,2.42,64100,155122.0,90.74637000000001,-12283.96695500001,-0.07341810811981371,STOP_LOSS,3
2026-03-04,sz.000016,深康佳A,SELL,3.47,12300,42681.0,24.968384999999998,-3472.889009999999,-0.07528658730674558,STOP_LOSS,2
2026-03-04,sh.600476,湘邮科技,BUY,12.5,7500,93750.0,7.968750000000001,0.0,,SIGNAL,0
2026-03-04,sh.600119,长江投资,BUY,6.15,15600,95940.0,8.154900000000001,0.0,,SIGNAL,0
2026-03-05,sh.603516,淳中科技,SELL,158.0,900,142200.0,83.18700000000001,-3425.557050000003,-0.023536493522973264,HOLD_EXPIRE,4
2026-03-05,sz.000838,财信发展,BUY,2.51,57600,144576.0,12.288960000000001,0.0,,SIGNAL,0
2026-03-06,sz.002227,奥特迅,SELL,10.6,4600,48760.0,28.5246,3187.6045000000013,0.0699897579412821,HOLD_EXPIRE,4
2026-03-06,sz.002175,东方智造,BUY,3.11,17200,53492.0,4.54682,0.0,,SIGNAL,0
2026-03-09,sz.002501,利源股份,SELL,1.98,18800,37224.0,21.776040000000002,-1341.0519399999976,-0.03479340841394329,HOLD_EXPIRE,4
2026-03-09,sh.603039,泛微网络,BUY,42.52,800,34016.0,2.89136,0.0,,SIGNAL,0
2026-03-10,sh.600476,湘邮科技,SELL,13.13,7500,98475.0,57.60787500000001,4659.4233749999985,0.04969629181519569,HOLD_EXPIRE,4
2026-03-10,sh.600119,长江投资,SELL,6.35,15600,99060.0,57.950100000000006,3053.895000000004,0.03182859538240067,HOLD_EXPIRE,4
2026-03-10,sh.603718,海利生物,BUY,4.85,19900,96515.0,8.203775,0.0,,SIGNAL,0
2026-03-10,sz.002694,顾地科技,BUY,3.13,30900,96717.0,8.220945,0.0,,SIGNAL,0
2026-03-11,sz.000838,财信发展,SELL,2.55,57600,146880.0,85.9248,2205.7862399999867,0.015255635541895182,HOLD_EXPIRE,4
2026-03-11,sz.000016,深康佳A,BUY,3.51,42500,149175.0,12.679875000000001,0.0,,SIGNAL,0
2026-03-12,sz.002175,东方智造,SELL,3.58,17200,61576.0,36.02196,8043.431219999999,0.15035421346098762,TAKE_PROFIT,4
2026-03-12,sh.603039,泛微网络,SELL,45.53,800,36424.0,21.30804,2383.800599999995,0.07007284790012025,TAKE_PROFIT,3
2026-03-12,sh.600969,郴电国际,BUY,10.79,4600,49633.99999999999,4.21889,0.0,,SIGNAL,0
2026-03-12,sz.002326,永太科技,BUY,23.7,2100,49770.0,4.23045,0.0,,SIGNAL,0
2026-03-16,sh.603718,海利生物,SELL,4.86,19900,96714.0,56.577690000000004,134.2185349999927,0.0013905312893764097,HOLD_EXPIRE,4
2026-03-16,sz.002694,顾地科技,SELL,3.1,30900,95790.0,56.037150000000004,-991.2580949999974,-0.010248186412142162,HOLD_EXPIRE,4
2026-03-16,sz.000016,深康佳A,SELL,3.28,42500,139400.0,81.549,-9869.228875,-0.06615310917945194,STOP_LOSS,3
2026-03-16,sh.605255,天普股份,BUY,115.0,1300,149500.0,12.707500000000001,0.0,,SIGNAL,0
2026-03-16,sh.603992,松霖科技,BUY,31.81,5300,168593.0,14.330405,0.0,,SIGNAL,0
2026-03-17,sh.600082,海泰发展,BUY,3.86,4900,18914.0,1.60769,0.0,,SIGNAL,0
2026-03-18,sh.600969,郴电国际,SELL,10.39,4600,47794.0,27.959490000000002,-1872.1783799999903,-0.037716469725652374,HOLD_EXPIRE,4
2026-03-18,sz.002326,永太科技,SELL,23.91,2100,50211.0,29.373435,407.3961149999959,0.00818488023454707,HOLD_EXPIRE,4
2026-03-18,sh.605255,天普股份,SELL,105.0,1300,136500.0,79.8525,-13092.559999999998,-0.08756820887615856,STOP_LOSS,2
2026-03-18,sz.000635,英力特,BUY,9.07,12300,111561.0,9.482685,0.0,,SIGNAL,0
2026-03-18,sz.002217,合力泰,BUY,2.65,42300,112095.0,9.528075000000001,0.0,,SIGNAL,0
2026-03-19,sh.605255,天普股份,BUY,101.01,100,10101.0,1.0,0.0,,SIGNAL,0
2026-03-20,sh.603992,松霖科技,SELL,32.13,5300,170289.0,99.619065,1582.0505300000077,0.009383047143916422,HOLD_EXPIRE,4
2026-03-20,sz.002217,合力泰,SELL,2.51,42300,106172.99999999999,62.11120499999999,-5993.639280000003,-0.05346473851609409,STOP_LOSS,2
2026-03-20,sh.600333,长春燃气,BUY,5.61,23500,131835.0,11.205975,0.0,,SIGNAL,0
2026-03-20,sh.600246,万通发展,BUY,10.5,12500,131250.0,11.15625,0.0,,SIGNAL,0
