code,name,isDelisted
sh.600303,曙光股份,False
sh.600305,恒顺醋业,False
sh.600306,退市商城,True
sh.600307,酒钢宏兴,False
sh.600308,华泰股份,False
sh.600309,万华化学,False
sh.600310,广西能源,False
sh.600311,*ST荣华,True
sh.600312,平高电气,False
sh.600313,农发种业,False
sh.600315,上海家化,False
sh.600316,洪都航空,False
sh.600317,营口港,True
sh.600318,新力金融,False
sh.600319,亚星化学,False
sh.600320,振华重工,False
sh.600321,正源股份,True
sh.600322,津投城开,False
sh.600323,瀚蓝环境,False
sh.600325,华发股份,False
sh.600326,西藏天路,False
sh.600327,大东方,False
sh.600328,中盐化工,False
sh.600329,达仁堂,False
sh.600330,天通股份,False
sh.600331,宏达股份,False
sh.600332,白云山,False
sh.600333,长春燃气,False
sh.600335,国机汽车,False
sh.600336,澳柯玛,False
sh.600337,美克家居,False
sh.600338,西藏珠峰,False
sh.600339,中油工程,False
sh.600340,华夏幸福,False
sh.600343,航天动力,False
sh.600345,长江通信,False
sh.600346,恒力石化,False
sh.600348,华阳股份,False
sh.600350,山东高速,False
sh.600351,亚宝药业,False
sh.600352,浙江龙盛,False
sh.600353,旭光电子,False
sh.600354,敦煌种业,False
sh.600355,*ST精伦,False
sh.600356,恒丰纸业,False
sh.600357,承德钒钛,True
sh.600358,ST联合,False
sh.600359,新农开发,False
sh.600360,*ST华微,False
sh.600361,创新新材,False
sh.600362,江西铜业,False
sh.600363,联创光电,False
sh.600365,ST通葡,False
sh.600366,宁波韵升,False
sh.600367,红星发展,False
sh.600368,五洲交通,False
sh.600369,西南证券,False
sh.600370,三房巷,False
sh.600371,万向德农,False
sh.600372,中航机载,False
sh.600373,中文传媒,False
sh.600375,汉马科技,False
sh.600376,首开股份,False
sh.600377,宁沪高速,False
sh.600378,昊华科技,False
sh.600379,宝光股份,False
sh.600380,健康元,False
sh.600381,*ST春天,False
sh.600382,广东明珠,False
sh.600383,金地集团,False
sh.600385,退市金泰,True
sh.600386,北巴传媒,False
sh.600387,退市海越,True
sh.600388,龙净环保,False
sh.600389,江山股份,False
sh.600390,五矿资本,False
sh.600391,航发科技,False
sh.600392,盛和资源,False
sh.600393,ST粤泰,True
sh.600395,盘江股份,False
sh.600396,华电辽能,False
sh.600397,江钨装备,False
sh.600398,海澜之家,False
sh.600399,抚顺特钢,False
sh.600400,红豆股份,False
sh.600401,退市海润,True
sh.600403,大有能源,False
sh.600405,动力源,False
sh.600406,国电南瑞,False
sh.600408,安泰集团,False
sh.600409,三友化工,False
sh.600410,华胜天成,False
sh.600415,小商品城,False
sh.600416,湘电股份,False
sh.600418,江淮汽车,False
sh.600419,天润乳业,False
sh.600420,国药现代,False
sh.600421,*ST华嵘,False
sh.600422,昆药集团,False
sh.600423,柳化股份,False
sh.600425,青松建化,False
sh.600426,华鲁恒升,False
sh.600428,中远海特,False
sh.600429,三元股份,False
sh.600432,退市吉恩,True
sh.600433,冠豪高新,False
sh.600435,北方导航,False
sh.600436,片仔癀,False
sh.600438,通威股份,False
sh.600439,瑞贝卡,False
sh.600444,国机通用,False
sh.600446,金证股份,False
sh.600448,华纺股份,False
sh.600449,宁夏建材,False
sh.600452,涪陵电力,False
sh.600455,博通股份,False
sh.600456,宝钛股份,False
sh.600458,时代新材,False
sh.600459,贵研铂业,False
sh.600460,士兰微,False
sh.600461,洪城环境,False
sh.600462,退市九有,True
sh.600463,空港股份,False
sh.600466,*ST蓝光,True
sh.600467,好当家,False
sh.600468,百利电气,False
sh.600469,风神股份,False
sh.600470,六国化工,False
sh.600472,包头铝业,True
sh.600475,华光环能,False
sh.600476,湘邮科技,False
sh.600477,杭萧钢构,False
sh.600478,科力远,False
sh.600479,千金药业,False
sh.600480,凌云股份,False
sh.600481,双良节能,False
sh.600482,中国动力,False
sh.600483,福能股份,False
sh.600485,*ST信威,True
sh.600486,扬农化工,False
sh.600487,亨通光电,False
sh.600488,津药药业,False
sh.600489,中金黄金,False
sh.600490,鹏欣资源,False
sh.600491,龙元建设,False
sh.600493,凤竹纺织,False
sh.600495,晋西车轴,False
sh.600496,精工钢构,False
sh.600497,驰宏锌锗,False
sh.600498,烽火通信,False
sh.600499,科达制造,False
sh.600500,中化国际,False
sh.600501,航天晨光,False
sh.600502,安徽建工,False
sh.600503,华丽家族,False
sh.600505,西昌电力,False
sh.600506,统一股份,False
sh.600507,方大特钢,False
sh.600508,上海能源,False
sh.600509,天富能源,False
sh.600510,黑牡丹,False
sh.600511,国药股份,False
sh.600512,腾达建设,False
sh.600513,联环药业,False
sh.600515,海南机场,False
sh.600516,方大炭素,False
sh.600517,国网英大,False
sh.600518,康美药业,False
sh.600519,贵州茅台,False
sh.600520,三佳科技,False
sh.600521,华海药业,False
sh.600522,中天科技,False
sh.600523,贵航股份,False
sh.600525,ST长园,False
sh.600526,菲达环保,False
sh.600527,江南高纤,False
sh.600528,中铁工业,False
sh.600529,山东药玻,False
sh.600530,交大昂立,False
sh.600531,豫光金铅,False
sh.600532,退市未来,True
sh.600533,栖霞建设,False
sh.600535,天士力,False
sh.600536,中国软件,False
sh.600537,亿晶光电,False
sh.600538,国发股份,False
sh.600539,狮头股份,False
sh.600540,新赛股份,False
sh.600543,莫高股份,False
sh.600545,卓郎智能,False
sh.600546,山煤国际,False
sh.600547,山东黄金,False
sh.600548,深高速,False
sh.600549,厦门钨业,False
sh.600550,保变电气,False
sh.600551,时代出版,False
sh.600552,凯盛科技,False
sh.600553,太行水泥,True
sh.600555,退市海创,True
sh.600556,天下秀,False
sh.600557,康缘药业,False
sh.600558,大西洋,False
sh.600559,老白干酒,False
sh.600560,金自天正,False
sh.600561,江西长运,False
sh.600562,国睿科技,False
sh.600563,法拉电子,False
sh.600565,ST迪马,True
sh.600566,济川药业,False
sh.600567,山鹰国际,False
sh.600568,ST中珠,False
sh.600569,安阳钢铁,False
sh.600570,恒生电子,False
sh.600571,信雅达,False
sh.600572,康恩贝,False
sh.600573,惠泉啤酒,False
sh.600575,淮河能源,False
sh.600576,祥源文旅,False
sh.600577,精达股份,False
sh.600578,京能电力,False
sh.600579,中化装备,False
sh.600580,卧龙电驱,False
sh.600581,*ST八钢,False
sh.600582,天地科技,False
sh.600583,海油工程,False
sh.600584,长电科技,False
sh.600585,海螺水泥,False
sh.600586,金晶科技,False
sh.600587,新华医疗,False
sh.600588,用友网络,False
sh.600589,大位科技,False
sh.600590,泰豪科技,False
sh.600591,*ST上航,True
sh.600592,龙溪股份,False
sh.600593,大连圣亚,False
sh.600594,益佰制药,False
sh.600595,中孚实业,False
sh.600596,新安股份,False
sh.600597,光明乳业,False
sh.600598,北大荒,False
sh.600599,*ST熊猫,False
sh.600600,青岛啤酒,False
sh.600601,方正科技,False
sh.600602,云赛智联,False
sh.600603,广汇物流,False
sh.600604,市北高新,False
sh.600605,汇通能源,False
sh.600606,绿地控股,False
sh.600607,上实医药,True
sh.600608,*ST沪科,False
sh.600609,金杯汽车,False
sh.600610,中毅达,False
sh.600611,大众交通,False
sh.600612,老凤祥,False
sh.600613,神奇制药,False
sh.600614,退市鹏起,True
sh.600615,鑫源智造,False
sh.600616,金枫酒业,False
sh.600617,国新能源,False
sh.600618,氯碱化工,False
sh.600619,海立股份,False
sh.600620,天宸股份,False
sh.600621,华鑫股份,False
sh.600622,光大嘉宝,False
sh.600623,华谊集团,False
sh.600624,ST复华,False
sh.600625,PT水仙,True
sh.600626,申达股份,False
sh.600627,上电股份,True
sh.600628,新世界,False
sh.600629,华建集团,False
sh.600630,龙头股份,False
sh.600631,百联股份,True
sh.600632,华联商厦,True
sh.600633,浙数文化,False
sh.600634,退市富控,True
sh.600635,大众公用,False
sh.600636,*ST国化,False
sh.600637,东方明珠,False
sh.600638,新黄浦,False
sh.600639,浦东金桥,False
sh.600640,国脉文化,False
sh.600641,先导基电,False
sh.600642,申能股份,False
sh.600643,爱建集团,False
sh.600644,乐山电力,False
sh.600645,中源协和,False
sh.600646,ST国嘉,True
sh.600647,退市同达,True
sh.600648,外高桥,False
sh.600649,城投控股,False
sh.600650,锦江在线,False
sh.600651,飞乐音响,False
sh.600652,退市游久,True
sh.600653,申华控股,False
sh.600654,中安科,False
sh.600655,豫园股份,False
sh.600656,退市博元,True
sh.600657,信达地产,False
sh.600658,电子城,False
sh.600659,*ST花雕,True
sh.600660,福耀玻璃,False
sh.600661,昂立教育,False
sh.600662,外服控股,False
sh.600663,陆家嘴,False
sh.600664,哈药股份,False
sh.600665,天地源,False
sh.600666,奥瑞德,False
sh.600667,太极实业,False
sh.600668,尖峰集团,False
sh.600669,*ST鞍成,True
sh.600670,*ST斯达,True
sh.600671,天目药业,False
sh.600672,*ST华圣,True
sh.600673,东阳光,False
sh.600674,川投能源,False
sh.600675,中华企业,False
sh.600676,交运股份,False
sh.600677,*ST航通,True
sh.600678,四川金顶,False
sh.600679,上海凤凰,False
sh.600680,*ST上普,True
sh.600681,百川能源,False
sh.600682,南京新百,False
sh.600683,京投发展,False
sh.600684,珠江股份,False
sh.600685,中船防务,False
sh.600686,金龙汽车,False
sh.600687,退市刚泰,True
sh.600688,上海石化,False
sh.600689,上海三毛,False
sh.600690,海尔智家,False
sh.600691,潞化科技,False
sh.600692,亚通股份,False
sh.600693,东百集团,False
sh.600694,大商股份,False
sh.600695,退市绿庭,True
sh.600696,*ST岩石,False
sh.600697,欧亚集团,False
sh.600698,湖南天雁,False
sh.600699,均胜电子,False
sh.600700,*ST数码,True
sh.600701,退市工新,True
sh.600702,舍得酒业,False
sh.600703,三安光电,False
sh.600704,物产中大,False
sh.600705,中航产融,True
sh.600706,曲江文旅,False
sh.600707,彩虹股份,False
sh.600708,光明地产,False
sh.600709,ST生态,True
sh.600710,苏美达,False
sh.600711,盛屯矿业,False
sh.600712,南宁百货,False
sh.600713,南京医药,False
sh.600714,金瑞矿业,False
sh.600715,文投控股,False
sh.600716,凤凰股份,False
sh.600717,天津港,False
sh.600718,东软集团,False
sh.600719,大连热电,False
sh.600720,中交设计,False
sh.600721,百花医药,False
sh.600722,金牛化工,False
sh.600723,首商股份,True
sh.600724,宁波富达,False
sh.600725,云维股份,False
sh.600726,华电能源,False
sh.600727,鲁北化工,False
sh.600728,佳都科技,False
sh.600729,重庆百货,False
sh.600730,中国高科,False
sh.600731,湖南海利,False
sh.600732,爱旭股份,False
sh.600733,北汽蓝谷,False
sh.600734,实达集团,False
sh.600735,ST新华锦,False
sh.600736,苏州高新,False
sh.600737,中粮糖业,False
sh.600738,丽尚国潮,False
sh.600739,辽宁成大,False
sh.600740,山西焦化,False
sh.600741,华域汽车,False
sh.600742,富维股份,False
sh.600743,华远控股,False
sh.600744,华银电力,False
sh.600745,闻泰科技,False
sh.600746,江苏索普,False
sh.600747,退市大控,True
sh.600748,上实发展,False
sh.600749,西藏旅游,False
sh.600750,华润江中,False
sh.600751,海航科技,False
sh.600752,*ST哈慈,True
sh.600753,*ST海钦,False
sh.600754,锦江酒店,False
sh.600755,厦门国贸,False
sh.600756,浪潮软件,False
sh.600757,长江传媒,False
sh.600758,辽宁能源,False
sh.600759,洲际油气,False
sh.600760,中航沈飞,False
sh.600761,安徽合力,False
sh.600762,S*ST金荔,True
sh.600763,通策医疗,False
sh.600764,中国海防,False
sh.600765,中航重机,False
sh.600766,退市园城,True
sh.600767,退市运盛,True
sh.600768,宁波富邦,False
sh.600769,祥龙电业,False
sh.600770,综艺股份,False
sh.600771,广誉远,False
sh.600772,S*ST龙昌,True
sh.600773,西藏城投,False
sh.600774,汉商集团,False
sh.600775,南京熊猫,False
sh.600776,东方通信,False
sh.600777,*ST新潮,False
sh.600778,友好集团,False
sh.600779,水井坊,False
sh.600780,通宝能源,False
sh.600781,退市辅仁,True
sh.600782,新钢股份,False
sh.600783,鲁信创投,False
sh.600784,鲁银投资,False
sh.600785,新华百货,False
sh.600786,东方锅炉,True
sh.600787,中储股份,False
sh.600788,*ST达曼,True
sh.600789,鲁抗医药,False
sh.600790,轻纺城,False
sh.600791,京能置业,False
sh.600792,云煤能源,False
sh.600793,宜宾纸业,False
sh.600794,保税科技,False
sh.600795,国电电力,False
sh.600796,钱江生化,False
sh.600797,浙大网新,False
sh.600798,宁波海运,False
sh.600799,*ST龙科,True
sh.600800,渤海化学,False
sh.600801,华新建材,False
sh.600802,福建水泥,False
sh.600803,新奥股份,False
sh.600804,退市鹏博,True
sh.600805,悦达投资,False
sh.600806,退市昆机,True
sh.600807,济高发展,False
sh.600808,马钢股份,False
sh.600809,山西汾酒,False
sh.600810,神马股份,False
sh.600811,*ST东方,True
sh.600812,华北制药,False
sh.600813,ST鞍一工,True
sh.600814,杭州解百,False
sh.600815,厦工股份,False
sh.600816,建元信托,False
sh.600817,宇通重工,False
sh.600818,中路股份,False
sh.600819,耀皮玻璃,False
sh.600820,隧道股份,False
sh.600821,金开新能,False
sh.600822,上海物贸,False
sh.600823,*ST世茂,True
sh.600824,益民集团,False
sh.600825,新华传媒,False
sh.600826,兰生股份,False
sh.600827,百联股份,False
sh.600828,茂业商业,False
sh.600829,人民同泰,False
sh.600830,香溢融通,False
sh.600831,广电网络,False
sh.600832,东方明珠,True
sh.600833,第一医药,False
sh.600834,申通地铁,False
sh.600835,上海机电,False
sh.600836,*ST易连,True
sh.600837,海通证券,True
sh.600838,上海九百,False
sh.600839,四川长虹,False
sh.600840,新湖创业,True
sh.600841,动力新科,False
sh.600842,中西药业,True
sh.600843,上工申贝,False
sh.600844,金煤科技,False
sh.600845,宝信软件,False
sh.600846,同济科技,False
sh.600847,万里股份,False
sh.600848,上海临港,False
sh.600849,上药转换,True
sh.600850,电科数字,False
sh.600851,海欣股份,False
sh.600852,*ST中川,True
sh.600853,龙建股份,False
sh.600854,春兰股份,False
sh.600855,航天长峰,False
sh.600856,退市中天,True
sh.600857,宁波中百,False
sh.600858,银座股份,False
sh.600859,王府井,False
sh.600860,京城股份,False
sh.600861,北京人力,False
sh.600862,中航高科,False
sh.600863,华能蒙电,False
sh.600864,哈投股份,False
sh.600865,百大集团,False
sh.600866,星湖科技,False
sh.600867,通化东宝,False
sh.600868,梅雁吉祥,False
sh.600869,远东股份,False
sh.600870,退市厦华,True
sh.600871,石化油服,False
sh.600872,中炬高新,False
sh.600873,梅花生物,False
sh.600874,创业环保,False
sh.600875,东方电气,False
sh.600876,凯盛新能,False
sh.600877,电科芯片,False
sh.600878,*ST北科,True
sh.600879,航天电子,False
sh.600880,博瑞传播,False
sh.600881,亚泰集团,False
sh.600882,妙可蓝多,False
sh.600883,博闻科技,False
sh.600884,杉杉股份,False
sh.600885,宏发股份,False
sh.600886,国投电力,False
sh.600887,伊利股份,False
sh.600888,新疆众和,False
sh.600889,南京化纤,False
sh.600890,退市中房,True
sh.600891,退市秋林,True
sh.600892,*ST大晟,False
sh.600893,航发动力,False
sh.600894,广日股份,False
sh.600895,张江高科,False
sh.600896,退市海医,True
sh.600897,厦门空港,False
sh.600898,*ST美讯,True
sh.600899,*ST信联,True
sh.600900,长江电力,False
sh.600901,江苏金租,False
sh.600903,贵州燃气,False
sh.600905,三峡能源,False
sh.600906,财达证券,False
sh.600908,无锡银行,False
sh.600909,华安证券,False
sh.600916,中国黄金,False
sh.600917,重庆燃气,False
sh.600918,中泰证券,False
sh.600919,江苏银行,False
sh.600925,苏能股份,False
sh.600926,杭州银行,False
sh.600927,永安期货,False
sh.600928,西安银行,False
sh.600929,雪天盐业,False
sh.600930,华电新能,False
sh.600933,爱柯迪,False
sh.600935,华塑股份,False
sh.600936,北投科技,False
sh.600938,中国海油,False
sh.600939,重庆建工,False
sh.600941,中国移动,False
sh.600955,维远股份,False
sh.600956,新天绿能,False
sh.600958,东方证券,False
sh.600959,江苏有线,False
sh.600960,渤海汽车,False
sh.600961,株冶集团,False
sh.600962,国投中鲁,False
sh.600963,岳阳林纸,False
sh.600965,福成股份,False
sh.600966,博汇纸业,False
sh.600967,内蒙一机,False
sh.600968,海油发展,False
sh.600969,郴电国际,False
sh.600970,中材国际,False
sh.600971,恒源煤电,False
sh.600973,宝胜股份,False
sh.600975,新五丰,False
sh.600976,健民集团,False
sh.600977,中国电影,False
sh.600978,*ST宜生,True
sh.600979,广安爱众,False
sh.600980,北矿科技,False
sh.600981,苏豪汇鸿,False
sh.600982,宁波能源,False
sh.600983,惠而浦,False
sh.600984,建设机械,False
sh.600985,淮北矿业,False
sh.600986,浙文互联,False
sh.600987,航民股份,False
sh.600988,赤峰黄金,False
sh.600989,宝丰能源,False
sh.600990,四创电子,False
sh.600991,广汽长丰,True
sh.600992,贵绳股份,False
sh.600993,马应龙,False
sh.600995,南网储能,False
sh.600996,贵广网络,False
sh.600997,开滦股份,False
sh.600998,九州通,False
sh.600999,招商证券,False
sh.601000,唐山港,False
sh.601001,晋控煤业,False
sh.601002,晋亿实业,False
sh.601003,柳钢股份,False
sh.601005,重庆钢铁,False
sh.601006,大秦铁路,False
sh.601007,金陵饭店,False
sh.601008,连云港,False
sh.601009,南京银行,False
sh.601010,文峰股份,False
sh.601011,宝泰隆,False
sh.601012,隆基绿能,False
sh.601015,陕西黑猫,False
sh.601016,节能风电,False
sh.601018,宁波港,False
sh.601019,山东出版,False
sh.601020,华钰矿业,False
sh.601021,春秋航空,False
sh.601022,宁波远洋,False
sh.601026,道生天合,False
sh.601028,玉龙股份,True
sh.601033,永兴股份,False
sh.601038,一拖股份,False
sh.601058,赛轮轮胎,False
sh.601059,信达证券,False
sh.601061,中信金属,False
sh.601065,江盐集团,False
sh.601066,中信建投,False
sh.601068,中铝国际,False
sh.601069,西部黄金,False
sh.601077,渝农商行,False
sh.601083,锦江航运,False
sh.601086,国芳集团,False
sh.601088,中国神华,False
sh.601089,福元医药,False
sh.601096,宏盛华源,False
sh.601098,中南传媒,False
sh.601099,太平洋,False
sh.601100,恒立液压,False
sh.601101,昊华能源,False
sh.601106,中国一重,False
sh.601107,四川成渝,False
sh.601108,财通证券,False
sh.601111,中国国航,False
sh.601112,振石股份,False
sh.601113,华鼎股份,False
sh.601116,三江购物,False
sh.601117,中国化学,False
sh.601118,海南橡胶,False
sh.601121,宝地矿业,False
sh.601126,四方股份,False
sh.601127,赛力斯,False
sh.601128,常熟银行,False
sh.601133,柏诚股份,False
sh.601136,首创证券,False
sh.601137,博威合金,False
sh.601138,工业富联,False
sh.601139,深圳燃气,False
sh.601155,新城控股,False
sh.601156,东航物流,False
sh.601158,重庆水务,False
sh.601162,天风证券,False
sh.601163,三角轮胎,False
sh.601166,兴业银行,False
sh.601168,西部矿业,False
sh.601169,北京银行,False
sh.601177,杭齿前进,False
sh.601179,中国西电,False
sh.601186,中国铁建,False
sh.601187,厦门银行,False
sh.601188,龙江交通,False
sh.601198,东兴证券,False
sh.601199,江南水务,False
sh.601200,上海环境,False
sh.601208,东材科技,False
sh.601211,国泰海通,False
sh.601212,白银有色,False
sh.601216,君正集团,False
sh.601218,吉鑫科技,False
sh.601222,林洋能源,False
sh.601225,陕西煤业,False
sh.601226,华电科工,False
sh.601228,广州港,False
sh.601229,上海银行,False
sh.601231,环旭电子,False
sh.601233,桐昆股份,False
sh.601236,红塔证券,False
sh.601238,广汽集团,False
sh.601258,*ST庞大,True
sh.601268,*ST二重,True
sh.601279,英利汽车,False
sh.601288,农业银行,False
sh.601298,青岛港,False
sh.601299,中国北车,True
sh.601311,骆驼股份,False
sh.601318,中国平安,False
sh.601319,中国人保,False
sh.601326,秦港股份,False
sh.601328,交通银行,False
sh.601330,绿色动力,False
sh.601333,广深铁路,False
sh.601336,新华保险,False
sh.601339,百隆东方,False
sh.601360,三六零,False
sh.601366,利群股份,False
sh.601368,绿城水务,False
sh.601369,陕鼓动力,False
sh.601375,中原证券,False
sh.601377,兴业证券,False
sh.601388,怡球资源,False
sh.601390,中国中铁,False
sh.601398,工商银行,False
sh.601399,国机重装,False
sh.601456,国联民生,False
sh.601500,通用股份,False
sh.601512,中新集团,False
sh.601515,衢州东峰,False
sh.601518,吉林高速,False
sh.601519,大智慧,False
sh.601528,瑞丰银行,False
sh.601555,东吴证券,False
sh.601558,退市锐电,True
sh.601566,九牧王,False
sh.601567,三星医疗,False
sh.601568,北元集团,False
sh.601577,长沙银行,False
sh.601579,会稽山,False
sh.601588,北辰实业,False
sh.601595,上海电影,False
sh.601598,中国外运,False
